date,username,tweet
2022-10-01 14:24:48,AlifiaMona,Presidensi G20 jadi bukti bahwa indonesia sangat dihormati dan diakui dunia sebagai negara dengan perekonomian yang besar  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
2022-10-01 14:24:07,GamingGmap,Fasilitas Layaanan Kesehatan Pada KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Barat  https://t.co/mziao1ewOl
2022-10-01 14:24:06,erfanjay4,Polri Antisipasi Serangan Siber Hingga Terorisme Jelang KTT G20.  Papua Dukung #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/vtRx56pH3R
2022-10-01 14:23:50,chandrawinot0,Polri Tetapkan Lima Kawasan Menjadi Prioritas Pengamanan KTT G20.  Papua Dukung #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/5V7lYP7g4k
2022-10-01 14:23:50,AlifiaMona,KTT G20 berikan dampak positif pada perekonomian indonesia khususnya pada sektor pariwisata  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
2022-10-01 14:23:36,AlifiaMona,KTT G20 berikan dampak positif pada pertumbuhan ekonomi indonesia  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
2022-10-01 14:23:28,erfanjay4,Polri Antisipasi Serangan Siber Hingga Terorisme Jelang KTT G20.  Papua Dukung #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/jotkWfsB0g
2022-10-01 14:23:18,AlifiaMona,KTT G20 jadi kesempatan bagi Indonesia mengenalkan pariwisata unggulan kelas dunia yang ada di indonesia  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
2022-10-01 14:23:17,chandrawinot0,Polri Antisipasi Serangan Siber Hingga Terorisme Jelang KTT G20.  Papua Dukung #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/MK9kOeWQBt
2022-10-01 14:22:17,GaekMinang,Perioritas G20. Masyarakat Sumatera Barat Bangga Indonesia penyelenggara KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia
2022-10-01 14:22:05,AlifiaMona,Presidensi G20 jadi bukti bahwa indonesia sangat diakui dunia sebagai negara dengan perekonomian yang besar dan kuat  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara  https://t.co/xNDC8baARv
2022-10-01 14:21:28,GaekMinang,TNI Kerahkan 12 Kapal Perang Amankan G20 di Bali. Masyarakat Sumatera Barat Bangga Indonesia penyelenggara KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia
2022-10-01 14:20:36,AlifiaMona,KTT G20 jadi kesempatan bagi indonesia mengenalkan pariwisata unggulan kelas dunia yang ada di indonesia  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara  https://t.co/uClRT6X3ee
2022-10-01 14:19:09,AlifiaMona,Presidensi G20 jadi kesempatan bagi Indonesia menunjukkan powernya sebagai leader dalam pemulihan ekonomi global  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara  https://t.co/Lt0DAQFBYV
2022-10-01 14:18:46,AlifiaMona,KTT G20 berikan dampak positif pada pertumbuhan ekonomi indonesia kedepannya  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara  https://t.co/n915dMAuKA
2022-10-01 14:15:09,trainer_gym00,Indonesia akan bahas dan fokuskan Pertanian Digital dalam Presidensi KTT G20 Indonesia  Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/x7w0lxeSiO
2022-10-01 14:15:01,trainer_gym00,Pemerintah lakukan pertemuan sherpa demi kelancaran Presidensi KTT G20 Indonesia  Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/prIkH6bCE0
2022-10-01 14:14:38,trainer_gym00,Pemerintah siapkan akses TOL demi kelancaran Presidensi KTT G20 Indonesia  Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/6mkaiSpC9c
2022-10-01 14:13:59,trainer_gym00,Pemimpin Negara sangat berperan penting dalam kesuksesan KTT G20  Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/sO6aXKo87l
2022-10-01 14:13:43,chandrawinot0,Berbagai Fasilitas Layanan Kesehatan Pada KTT G20 Disiapkan.  Papua Dukung #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/zH3FU3u3h6
2022-10-01 14:13:36,trainer_gym00,"Indonesia Prioritaskan ""Economic Forum"" dalam Presidensi KTT G20 Indonesia  Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/JPUd5q6w3h"
2022-10-01 14:13:28,trainer_gym00,Presiden Jokowi optimis dengan adanya Presidensi KTT G20 Indonesia dapat tingkatkan ekonomi negara  Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/55zuOi7KjY
2022-10-01 14:13:21,trainer_gym00,Presidensi KTT G20 Indonesia Komitmen koordinasi kebijakan guna hadapi tantangan global  Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/XR1sr9REQT
2022-10-01 14:13:14,trainer_gym00,Pemerintah siapkan dan tinjau Venue demi kelancaran Presidensi KTT G20 Indonesia  Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/TfLCS8AD3V
2022-10-01 14:09:31,rickimwt,"Pengaruh besar kepemimpinan seorang Jokowi pada KTT G20, luar biasa Wajah baru TMII Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/G91DrXNREc"
2022-10-01 14:09:21,GaekMinang,"Hebat, Jokowi Pimpin G20. Masyarakat Sumatera Barat Bangga Indonesia penyelenggara KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/czag9BwHlq"
2022-10-01 14:09:17,rickimwt,"Pengaruh besar kepemimpinan seorang Jokowi pada KTT G20, luar biasa  Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/qx2DaZaABX"
2022-10-01 14:09:03,rickimwt,"Pengaruh besar kepemimpinan seorang Jokowi pada KTT G20, luar biasa Komitmen penuh Jambi  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/ca6us0jQG4"
