date,username,tweet
2022-10-01 21:36:27,AnexFino,G20 Komitmen Koordinasi Kebijakan Guna Hadapi Tantangan Global   Kalimantan tengah #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia @ Central Kalimantan  https://t.co/OcqCYXX7Kr
2022-10-01 21:27:06,tani_idn,"Meskipun pandangan setiap pihak berbeda namun, seluruh pihak menyerukan solusi damai untuk menghentikan ketegangan Rusia dan Ukraina.  #TaniIDN #Pertanian #G20 #G20Indonesia #KrisisPangan #Pangan #Daulatpangan  https://t.co/zYN807VL0t"
2022-10-01 21:25:46,tani_idn,"Dari isu tersebut, 21 dari total 22 paragraf communique berhasil disetujui oleh seluruh delegasi dan hampir mencapai konsesus.   #TaniIDN #Pertanian #G20 #G20Indonesia #KrisisPangan #Pangan #Daulatpangan  https://t.co/iWSZvthfc9"
2022-10-01 21:25:05,tani_idn,"Nah, ditengah ancaman krisis pangan dunia, Kementan mengutarakan 3 Isu Prioritas untuk sektor pertanian.  #TaniIDN #Pertanian #G20 #G20Indonesia #KrisisPangan #Pangan #Daulatpangan  https://t.co/Hpqa66XqP5"
2022-10-01 21:24:18,tani_idn,"Bestani tau kan, beberapa waktu lalu Indonesia baru aja jadi tuan rumah G20, di Bali?  #TaniIDN #Pertanian #G20 #G20Indonesia #KrisisPangan #Pangan #Daulatpangan  https://t.co/36lowWZkQx"
2022-10-01 21:22:47,laratmasestevi2,Bersama g20 membawa perubahan bagi bangsa Indonesia serta mensejahterakan masyarakat Indonesia - Maluku Maju - #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/KgTv5x2GZh
2022-10-01 21:22:26,laratmasestevi2,Indonesia maju bersama g20 - Maluku Maju - #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/cuUEQKbVxw
2022-10-01 21:22:11,laratmasestevi2,Ayo kita dukung g20 untuk Indonesia maju - Maluku Maju - #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/1EHhPjxCLD
2022-10-01 21:21:55,laratmasestevi2,Bersama g20 membawa perubahan bagi bangsa Indonesia menjadi lebih baik - Maluku Maju - #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/KU87steyFc
2022-10-01 21:21:53,laratmasestevi2,G20 menjadi perubahan bangsa Indonesia menjadi lebih baik - Maluku Maju - #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/oL0krTLeNK
2022-10-01 21:05:51,antaranews,"Jelang puncak KTT G20, pada November mendatang, pihak Bandara Ngurah Rai, Bali, menyebut akan ada 30 pesawat VVIP yang membawa petinggi negara dan delegasi tiba di Indonesia.   #G20Indonesia #PresidensiIndonesia  Berita selengkapnya:  https://t.co/rgT8XWGXuw  https://t.co/dBa0C5gjjq"
2022-10-01 20:39:00,EnergicaUK,"'Energica signed an agreement with UTOMOCORP, one of Indonesia's leading vehicle retail and distribution companies. The two companies expect to deliver the bikes to the Indonesian police force in early November.'⚡️🏍️ @EnergicaMotor @ideanomicshq @utomocorp #Energica #G20Indonesia  https://t.co/wVDG0Znrph"
2022-10-01 20:37:50,b20,"With that being said, B20 Indonesia 2022 is doing everything it can to improve the global economy through its Task Force and Policy Recommendations.  #B20 #B20Indonesia2022 #B20Summit #TaskForce #G20 #RecoverTogetherRecoverStronger #B20isBack  https://t.co/NdRPC3i9bo"
2022-10-01 20:32:00,komahiumy,"[HI! PODCAST Eps.6]  Halo HI-ers! Hi! Podcast hadir kembali menyapa kalian nih dengan membawakan informasi mengenai isu HI terkini yaitu ""Opportunities and Challenges of Indonesian Diplomacy in the G20: Indonesia's in Economic Recovery”  https://t.co/o99xe1X0Wm"
2022-10-01 20:28:06,sabhatansabiz,9 Bandara di Indonesia siap sambut 30 Pesawat VVIP G20 – ANTARA News  https://t.co/WUeYPmRO9V
2022-10-01 20:17:15,Christo69355847,G20 komitmen koordinasi kebijakan Guna Hadapi Tantangan Global. -Maluku Satu Rasa- #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/HE59DMcclR
2022-10-01 20:16:18,Christo69355847,TMII siap Menyelenggarakan G20 November 2022. -Maluku Satu Rasa- #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/6tfQBoQQc8
2022-10-01 20:15:57,HafanaYuni,TMII Siap menyelenggarakan G20 November 2022   #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/ovCzWhBfhb
2022-10-01 20:15:48,Christo69355847,Ekonomi Indonesia tertinggi diantara Negara G20. -Maluku Satu Rasa- #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/Q3kQ0E4ElA
2022-10-01 20:15:37,HafanaYuni,Jokowi Optimis Pertumbuhan Ekonomi Indonesia Tertinggi diantara Negara Anggota G20   #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/vqkDysNGEX
2022-10-01 20:15:16,HafanaYuni,G20 langkah pemulihan Ekonomi Nasional   #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/pWEPvXlLkg
2022-10-01 20:15:10,b20,"The B20-G20 Dialogue on Trade and Investment Task Force was successfully held in Labuan Bajo, Indonesia.  #B20 #B20Indonesia2022 #B20Summit #TaskForce #G20 #RecoverTogetherRecoverStronger #B20isBack  https://t.co/bZ1yZ3MWHx"
2022-10-01 20:14:50,HafanaYuni,TMII Siap menyelenggarakan G20   #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/unETspUhaA
